person,position,country,wikidata_id,gender,page_length,num_references,num_languages
Hibatullah Akhundzada,Supreme Leader,Afghanistan,Q24237654,male,312.0,145.0,65.0
Edi Rama,Prime Minister,Albania,Q316901,male,171.0,256.0,75.0
Abdelmadjid Tebboune,President,Algeria,Q2821166,male,97.0,142.0,69.0
João Lourenço,President,Angola,Q28650390,male,179.0,74.0,60.0
Rodney Williams,Governor-General,Antigua and Barbuda,Q17566330,male,46.0,40.0,28.0
Gaston Browne,Prime Minister,Antigua and Barbuda,Q17177542,male,41.0,60.0,37.0
Nikol Pashinyan,Prime Minister,Armenia,Q7035479,male,607.0,341.0,70.0
Sam Mostyn,Governor-General,Australia,Q105100733,female,109.0,158.0,23.0
Anthony Albanese,Prime Minister,Australia,Q335697,male,606.0,540.0,74.0
Christian Stocker,Chancellor,Austria,Q64576653,male,201.0,27.0,37.0
Ilham Aliyev,President,Azerbaijan,Q57371,male,364.0,249.0,110.0
Cynthia A. Pratt,Governor-General,Bahamas,Q4376482,female,29.0,33.0,17.0
Hamad bin Isa Al Khalifa,King,Bahrain,Q57352,male,45.0,137.0,74.0
Tarique Rahman,Prime Minister,Bangladesh,Q7686199,male,209.0,127.0,29.0
Mia Mottley,Prime Minister,Barbados,Q6827147,female,228.0,124.0,57.0
Alexander Lukashenko,Chairman,All-Belarusian People's Assembly,Q2866,male,498.0,439.0,126.0
Bart De Wever,Prime Minister,Belgium,Q336599,male,193.0,166.0,49.0
Froyla Tzalam,Governor-General,Belize,Q106601151,female,57.0,38.0,23.0
Johnny Briceño,Prime Minister,Belize,Q6266369,male,76.0,53.0,31.0
Patrice Talon,President,Benin,Q16669148,male,29.0,44.0,60.0
Tshering Tobgay,Prime Minister,Bhutan,Q7849613,male,57.0,42.0,38.0
Duma Boko,President,Botswana,Q18618881,male,144.0,41.0,31.0
Andrey Gyurov,Prime Minister,Bulgaria,Q110313525,male,38.0,14.0,11.0
Jean Emmanuel Ouédraogo,Prime Minister,Burkina Faso,Q116056730,male,61.0,21.0,11.0
Évariste Ndayishimiye,President,Burundi,Q27329764,male,112.0,57.0,41.0
Hun Manet,Prime Minister,Cambodia,Q13024351,male,225.0,100.0,40.0
Paul Biya,President,Cameroon,Q57272,male,270.0,151.0,75.0
Mary Simon,Governor General,Canada,Q6780723,female,176.0,202.0,35.0
Mark Carney,Prime Minister,Canada,Q192533,male,550.0,399.0,82.0
Ulisses Correia e Silva,Prime Minister,Cape Verde,Q23899522,male,58.0,17.0,38.0
Faustin-Archange Touadéra,President,Central African Republic,Q57758,male,164.0,69.0,60.0
Mahamat Déby,President,Chad,Q16206405,male,403.0,90.0,40.0
Gabriel Boric,President,Chile,Q16297876,male,186.0,340.0,79.0
Xi Jinping,Paramount Leader,China,Q15031,male,645.0,746.0,154.0
Gustavo Petro,President,Colombia,Q704022,male,273.0,288.0,61.0
Azali Assoumani,President,Comoros,Q515602,male,93.0,51.0,43.0
Félix Tshisekedi,President,Democratic Republic of the Congo,Q29032770,male,304.0,89.0,64.0
Denis Sassou Nguesso,President,Republic of the Congo,Q57418,male,239.0,118.0,71.0
Rodrigo Chaves Robles,President,Costa Rica,Q98017689,male,55.0,61.0,29.0
Andrej Plenković,Prime Minister,Croatia,Q11685764,male,324.0,173.0,55.0
Nikos Christodoulides,President,Cyprus,Q48905549,male,162.0,134.0,44.0
Andrej Babiš,Prime Minister,Czech Republic,Q10819807,male,573.0,262.0,62.0
Mette Frederiksen,Prime Minister,Denmark,Q5015,female,580.0,273.0,73.0
Ismaïl Omar Guelleh,President,Djibouti,Q57390,male,101.0,74.0,56.0
Roosevelt Skerrit,Prime Minister,Dominica,Q57823,male,88.0,46.0,41.0
Luis Abinader,President,Dominican Republic,Q16594097,male,311.0,86.0,39.0
Daniel Noboa,President,Ecuador,Q112075625,male,293.0,123.0,51.0
Abdel Fattah el-Sisi,President,Egypt,Q307871,male,334.0,325.0,89.0
Nayib Bukele,President,El Salvador,Q17712353,male,513.0,477.0,70.0
Teodoro Obiang Nguema Mbasogo,President,Equatorial Guinea,Q57385,male,296.0,188.0,73.0
Isaias Afwerki,President,Eritrea,Q57348,male,186.0,162.0,65.0
Kristen Michal,Prime Minister,Estonia,Q1789192,male,56.0,30.0,44.0
Mswati III,King,Eswatini,Q57340,male,254.0,60.0,75.0
Abiy Ahmed,Prime Minister,Ethiopia,Q50365049,male,424.0,289.0,82.0
Sitiveni Rabuka,Prime Minister,Fiji,Q981549,male,231.0,143.0,35.0
Petteri Orpo,Prime Minister,Finland,Q6029546,male,128.0,93.0,50.0
Emmanuel Macron,President,France,Q3052772,male,624.0,536.0,165.0
Brice Oligui Nguema,President,Gabon,Q122067521,male,129.0,49.0,34.0
Adama Barrow,President,Gambia,Q27917049,male,320.0,99.0,58.0
Irakli Kobakhidze,Prime Minister,Georgia,Q27885302,male,257.0,123.0,41.0
Friedrich Merz,Chancellor,Germany,Q566257,male,554.0,327.0,85.0
John Mahama,President,Ghana,Q50678,male,243.0,142.0,71.0
Kyriakos Mitsotakis,Prime Minister,Greece,Q552751,male,485.0,168.0,72.0
Cécile La Grenade,Governor-General,Grenada,Q11964294,female,28.0,49.0,31.0
Dickon Mitchell,Prime Minister,Grenada,Q112679881,male,51.0,29.0,21.0
Bernardo Arévalo,President,Guatemala,Q107254030,male,424.0,162.0,38.0
Irfaan Ali,President,Guyana,Q64840184,male,164.0,70.0,39.0
Alix Didier Fils-Aimé,President,Haiti,Q131140314,male,50.0,19.0,18.0
Nasry Asfura,President,Honduras,Q16146159,male,131.0,63.0,30.0
Viktor Orbán,Prime Minister,Hungary,Q57641,male,282.0,556.0,89.0
Kristrún Frostadóttir,Prime Minister,Iceland,Q108856371,female,67.0,38.0,32.0
Narendra Modi,Prime Minister,India,Q1058,male,562.0,618.0,147.0
Prabowo Subianto,President,Indonesia,Q2107268,male,347.0,509.0,62.0
Ali Khamenei,Supreme Leader,Iran,Q57336,male,582.0,516.0,110.0
Mohammed Shia' al-Sudani,Prime Minister,Iraq,Q3700793,male,106.0,106.0,34.0
Micheál Martin,Prime Minister,Ireland,Q920403,male,525.0,194.0,52.0
Benjamin Netanyahu,Prime Minister,Israel,Q43723,male,544.0,589.0,127.0
Giorgia Meloni,Prime Minister,Italy,Q451791,female,439.0,566.0,104.0
Alassane Ouattara,President,Ivory Coast,Q57413,male,104.0,94.0,70.0
Andrew Holness,Prime Minister,Jamaica,Q505200,male,271.0,69.0,36.0
Sanae Takaichi,Prime Minister,Japan,Q1705028,female,506.0,284.0,82.0
Kassym-Jomart Tokayev,President,Kazakhstan,Q200881,male,379.0,395.0,77.0
William Ruto,President,Kenya,Q195725,male,718.0,169.0,52.0
Taneti Maamau,President,Kiribati,Q23034482,male,163.0,89.0,36.0
Mishal Al-Ahmad Al-Jaber Al-Sabah,Emir,Kuwait,Q12243161,male,47.0,58.0,42.0
Sadyr Japarov,President,Kyrgyzstan,Q25597826,male,347.0,169.0,55.0
Thongloun Sisoulith,General Secretary of the People's Revolutionary Party,Lao People's Revolutionary Party,Q58323,male,171.0,89.0,45.0
Evika Siliņa,Prime Minister,Latvia,Q61121565,female,70.0,39.0,59.0
Nawaf Salam,Prime Minister,Lebanon,Q638463,male,139.0,83.0,28.0
Sam Matekane,Prime Minister,Lesotho,Q114588964,male,101.0,27.0,22.0
Joseph Boakai,President,Liberia,Q2630483,male,77.0,59.0,34.0
Abdul Hamid Dbeibeh,Prime Minister,Libya,Q105319569,male,79.0,51.0,24.0
Inga Ruginienė,Prime Minister,Lithuania,Q124516173,female,151.0,108.0,38.0
Luc Frieden,Prime Minister,Luxembourg,Q592101,male,205.0,93.0,38.0
Michael Randrianirina,Council of the Presidency for the Re-Foundation of the Republic,Presidency for the Re-Foundation of the Republic of Madagascar,Q136500275,male,112.0,55.0,28.0
Peter Mutharika,President,Malawi,Q7176020,male,598.0,105.0,56.0
Anwar Ibrahim,Prime Minister,Malaysia,Q299574,male,619.0,370.0,62.0
Mohamed Muizzu,President,Maldives,Q116293030,male,356.0,148.0,42.0
Assimi Goïta,President,Mali,Q98497406,male,263.0,64.0,39.0
Robert Abela,Prime Minister,Malta,Q37860840,male,61.0,53.0,51.0
Hilda Heine,President,Marshall Islands,Q20090884,female,268.0,106.0,46.0
Mohamed Ould Ghazouani,President,Mauritania,Q12241106,male,181.0,52.0,40.0
Navin Ramgoolam,Prime Minister,Mauritius,Q57836,male,140.0,103.0,32.0
Claudia Sheinbaum,President,Mexico,Q5771800,female,305.0,290.0,81.0
Wesley Simina,President,Federated States of Micronesia,Q7984081,male,76.0,20.0,20.0
Maia Sandu,President,Moldova,Q15071069,female,254.0,244.0,86.0
Alexandru Munteanu,Prime Minister,Moldova,Q136489383,male,28.0,17.0,18.0
Gombojavyn Zandanshatar,Prime Minister,Mongolia,Q4142905,male,255.0,66.0,17.0
Milojko Spajić,Prime Minister,Montenegro,Q101225458,male,96.0,70.0,38.0
Daniel Chapo,President,Mozambique,Q97058466,male,59.0,49.0,21.0
Netumbo Nandi-Ndaitwah,President,Namibia,Q527020,female,167.0,70.0,41.0
David Adeang,President,Nauru,Q58096,male,49.0,48.0,22.0
Sushila Karki,Prime Minister,Nepal,Q23842116,female,76.0,95.0,54.0
Dick Schoof,Prime Minister,Netherlands,Q22338116,male,162.0,133.0,58.0
Cindy Kiro,Governor-General,New Zealand,Q17180701,female,155.0,101.0,29.0
Christopher Luxon,Prime Minister,New Zealand,Q74370310,male,388.0,245.0,39.0
Daniel Ortega,Co-Presidents,Nicaragua,Q57402,male,486.0,226.0,86.0
Rosario Murillo,Co-Presidents,Nicaragua,Q3034382,female,200.0,79.0,25.0
Bola Tinubu,President,Nigeria,Q3510872,male,204.0,196.0,54.0
Hristijan Mickoski,Prime Minister,North Macedonia,Q46675558,male,103.0,63.0,33.0
Jonas Gahr Støre,Prime Minister,Norway,Q467948,male,411.0,235.0,46.0
Haitham bin Tariq,Sultan and Prime Minister,Oman,Q12250314,male,83.0,95.0,56.0
Shehbaz Sharif,Prime Minister,Pakistan,Q2096387,male,279.0,339.0,64.0
Surangel Whipps Jr.,President,Palau,Q26703072,male,64.0,48.0,29.0
Mahmoud Abbas,President,Palestine,Q127998,male,316.0,205.0,84.0
José Raúl Mulino,President,Panama,Q108454869,male,155.0,41.0,32.0
Bob Dadae,Governor-General,Papua New Guinea,Q28647870,male,30.0,36.0,18.0
James Marape,Prime Minister,Papua New Guinea,Q6138903,male,119.0,42.0,35.0
Santiago Peña,President,Paraguay,Q22695687,male,162.0,74.0,37.0
José María Balcázar,President,Peru,Q108414587,male,148.0,43.0,19.0
Bongbong Marcos,President,Philippines,Q983324,male,614.0,444.0,61.0
Donald Tusk,Prime Minister,Poland,Q946,male,592.0,277.0,89.0
Luís Montenegro,Prime Minister,Portugal,Q11764394,male,185.0,121.0,43.0
Tamim bin Hamad Al Thani,Emir,Qatar,Q1855372,male,92.0,247.0,68.0
Ilie Bolojan,Prime Minister,Romania,Q18538164,male,180.0,50.0,38.0
Vladimir Putin,President,Russia,Q7747,male,564.0,749.0,231.0
Paul Kagame,President,Rwanda,Q1231345,male,591.0,326.0,85.0
Marcella Liburd,Governor-General,Saint Kitts and Nevis,Q26716216,female,113.0,25.0,18.0
Terrance Drew,Prime Minister,Saint Kitts and Nevis,Q113443525,male,44.0,33.0,23.0
Errol Charles,Governor-General,Saint Lucia,Q109557998,male,46.0,24.0,15.0
Philip J. Pierre,Prime Minister,Saint Lucia,Q7184214,male,110.0,36.0,30.0
Stanley John,Governor-General,Saint Vincent and the Grenadines,Q20684253,male,183.0,12.0,2.0
Godwin Friday,Prime Minister,Saint Vincent and the Grenadines,Q28319076,male,117.0,39.0,14.0
Laʻauli Leuatea Schmidt,Prime Minister,Samoa,Q16734600,male,73.0,46.0,9.0
Luca Beccari,Secretary for Foreign and Political Affairs,State for Foreign and Political Affairs,Q15998324,male,72.0,17.0,12.0
Américo Ramos,Prime Minister,São Tomé and Príncipe,Q131749390,male,56.0,24.0,8.0
Mohammed bin Salman,Prime Minister,Saudi Arabia,Q6892571,male,409.0,404.0,78.0
Bassirou Diomaye Faye,President,Senegal,Q124382437,male,73.0,67.0,39.0
Aleksandar Vučić,President,Serbia,Q222031,male,429.0,371.0,73.0
Đuro Macut,Prime Minister,Serbia,Q42478807,male,188.0,97.0,23.0
Patrick Herminie,President,Seychelles,Q16190544,male,159.0,30.0,15.0
Julius Maada Bio,President,Sierra Leone,Q283829,male,306.0,120.0,41.0
Lawrence Wong,Prime Minister,Singapore,Q6504758,male,520.0,106.0,42.0
Robert Fico,Prime Minister,Slovakia,Q57606,male,405.0,352.0,74.0
Robert Golob,Prime Minister,Slovenia,Q18645045,male,31.0,41.0,54.0
David Tiva Kapu,Governor-General,Solomon Islands,Q126719605,male,23.0,18.0,9.0
Jeremiah Manele,Prime Minister,Solomon Islands,Q6180897,male,36.0,40.0,21.0
Hassan Sheikh Mohamud,President,Somalia,Q319153,male,169.0,138.0,50.0
Hamza Abdi Barre,Prime Minister,Somalia,Q112598575,male,95.0,51.0,21.0
Salva Kiir Mayardit,President,South Sudan,Q57315,male,265.0,116.0,69.0
Anura Kumara Dissanayake,President,Sri Lanka,Q4777855,male,422.0,153.0,47.0
Jennifer Geerlings-Simons,President,Suriname,Q440403,female,170.0,35.0,32.0
Ulf Kristersson,Prime Minister,Sweden,Q1780398,male,224.0,201.0,58.0
Emomali Rahmon,President,Tajikistan,Q57366,male,239.0,133.0,80.0
Samia Suluhu Hassan,President,Tanzania,Q16193885,female,294.0,112.0,70.0
Anutin Charnvirakul,Prime Minister,Thailand,Q16139757,male,319.0,205.0,35.0
Xanana Gusmão,Prime Minister,Timor-Leste,Q11509,male,67.0,109.0,54.0
Faure Gnassingbé,Prime Minister,Togo,Q4414,male,356.0,83.0,64.0
Fatafehi Fakafānua,Prime Minister,Tonga,Q5437258,male,77.0,39.0,22.0
Kamla Persad-Bissessar,Prime Minister,Trinidad and Tobago,Q57712,female,219.0,115.0,42.0
Serdar Berdimuhamedow,President,Turkmenistan,Q51874548,male,132.0,76.0,55.0
Tofiga Vaevalu Falani,Governor-General,Tuvalu,Q108906680,male,61.0,24.0,19.0
Feleti Teo,Prime Minister,Tuvalu,Q5441662,male,186.0,56.0,22.0
Yoweri Museveni,President,Uganda,Q57274,male,313.0,237.0,83.0
Volodymyr Zelenskyy,President,Ukraine,Q3874799,male,591.0,531.0,172.0
Mohamed bin Zayed Al Nahyan,President,United Arab Emirates,Q1951896,male,531.0,268.0,57.0
Keir Starmer,Prime Minister,United Kingdom,Q6383803,male,573.0,614.0,109.0
Yamandú Orsi,President,Uruguay,Q19946921,male,128.0,86.0,34.0
Shavkat Mirziyoyev,President,Uzbekistan,Q57808,male,387.0,123.0,85.0
Jotham Napat,Prime Minister,Vanuatu,Q115252004,male,79.0,17.0,11.0
Rashad al-Alimi,Chairman of the Presidential Leadership Council,Yemen,Q12213376,male,39.0,70.0,27.0
Hakainde Hichilema,President,Zambia,Q717185,male,172.0,133.0,50.0
Emmerson Mnangagwa,President,Zimbabwe,Q510523,male,577.0,358.0,70.0
Cindy Kiro,King's Representative,New Zealand,Q17180701,female,155.0,101.0,29.0
Dalton Tagelagi,Prime Minister,Niue,Q19876617,male,74.0,38.0,18.0
Badra Gunba,President,Abkhazia,Q4152132,male,179.0,27.0,22.0
Lai Ching-te,President,Republic of China,Q3847080,male,227.0,175.0,58.0
Albin Kurti,Prime Minister,Kosovo,Q441633,male,107.0,140.0,46.0
Tufan Erhürman,President,Northern Cyprus,Q47188815,male,158.0,47.0,21.0
Abdirahman Mohamed Abdullahi,President,Somaliland,Q4664994,male,88.0,62.0,23.0
Vadim Krasnoselsky,President,Transnistria,Q2035881,male,65.0,74.0,30.0
Mahdi al-Mashat,Chairman,Yemen,Q52156087,male,42.0,29.0,17.0
Osama Hammad,Prime Minister,Libya,Q118903129,male,52.0,30.0,9.0
Sviatlana Tsikhanouskaya,Cabinet,Belarus,Q97010473,female,283.0,106.0,72.0
Ursula von der Leyen,President,European Commission,Q60772,female,538.0,477.0,97.0
